001  12801 |Loss: 0.000 | Acc: 26.000% 
001  12865 |Loss: 0.000 | Acc: 26.000% 
001  12929 |Loss: 0.000 | Acc: 26.000% 
001  12993 |Loss: 0.000 | Acc: 26.000% 
001  13057 |Loss: 0.000 | Acc: 26.000% 
001  13121 |Loss: 0.000 | Acc: 26.000% 
001  13185 |Loss: 0.000 | Acc: 26.000% 
001  13249 |Loss: 0.000 | Acc: 26.000% 
001  13313 |Loss: 0.000 | Acc: 26.000% 
001  13377 |Loss: 0.000 | Acc: 26.000% 
001  13441 |Loss: 0.000 | Acc: 26.000% 
001  13505 |Loss: 0.000 | Acc: 26.000% 
001  13569 |Loss: 0.000 | Acc: 26.000% 
001  13633 |Loss: 0.000 | Acc: 26.000% 
001  13697 |Loss: 0.000 | Acc: 26.000% 
001  13761 |Loss: 0.000 | Acc: 26.000% 
001  13825 |Loss: 0.000 | Acc: 26.000% 
001  13889 |Loss: 0.000 | Acc: 26.000% 
001  13953 |Loss: 0.000 | Acc: 26.000% 
001  14017 |Loss: 0.000 | Acc: 26.000% 
001  14081 |Loss: 0.000 | Acc: 26.000% 
001  14145 |Loss: 0.000 | Acc: 26.000% 
001  14209 |Loss: 0.000 | Acc: 26.000% 
001  14273 |Loss: 0.000 | Acc: 27.000% 
001  14337 |Loss: 0.000 | Acc: 27.000% 
001  14401 |Loss: 0.000 | Acc: 27.000% 
001  14465 |Loss: 0.000 | Acc: 27.000% 
001  14529 |Loss: 0.000 | Acc: 27.000% 
001  14593 |Loss: 0.000 | Acc: 27.000% 
001  14657 |Loss: 0.000 | Acc: 27.000% 
001  14721 |Loss: 0.000 | Acc: 27.000% 
001  14785 |Loss: 0.000 | Acc: 27.000% 
001  14849 |Loss: 0.000 | Acc: 27.000% 
001  14913 |Loss: 0.000 | Acc: 27.000% 
001  14977 |Loss: 0.000 | Acc: 27.000% 
001  15041 |Loss: 0.000 | Acc: 27.000% 
001  15105 |Loss: 0.000 | Acc: 27.000% 
001  15169 |Loss: 0.000 | Acc: 27.000% 
001  15233 |Loss: 0.000 | Acc: 27.000% 
001  15297 |Loss: 0.000 | Acc: 27.000% 
001  15361 |Loss: 0.000 | Acc: 27.000% 
001  15425 |Loss: 0.000 | Acc: 27.000% 
001  15489 |Loss: 0.000 | Acc: 27.000% 
001  15553 |Loss: 0.000 | Acc: 27.000% 
001  15617 |Loss: 0.000 | Acc: 27.000% 
001  15681 |Loss: 0.000 | Acc: 27.000% 
001  15745 |Loss: 0.000 | Acc: 27.000% 
001  15809 |Loss: 0.000 | Acc: 27.000% 
001  15873 |Loss: 0.000 | Acc: 27.000% 
001  15937 |Loss: 0.000 | Acc: 27.000% 
001  16001 |Loss: 0.000 | Acc: 27.000% 
001  16065 |Loss: 0.000 | Acc: 27.000% 
001  16129 |Loss: 0.000 | Acc: 27.000% 
001  16193 |Loss: 0.000 | Acc: 27.000% 
001  16257 |Loss: 0.000 | Acc: 27.000% 
001  16321 |Loss: 0.000 | Acc: 27.000% 
001  16385 |Loss: 0.000 | Acc: 27.000% 
001  16449 |Loss: 0.000 | Acc: 27.000% 
001  16513 |Loss: 0.000 | Acc: 28.000% 
001  16577 |Loss: 0.000 | Acc: 28.000% 
001  16641 |Loss: 0.000 | Acc: 28.000% 
001  16705 |Loss: 0.000 | Acc: 28.000% 
001  16769 |Loss: 0.000 | Acc: 28.000% 
001  16833 |Loss: 0.000 | Acc: 28.000% 
001  16897 |Loss: 0.000 | Acc: 28.000% 
001  16961 |Loss: 0.000 | Acc: 28.000% 
001  17025 |Loss: 0.000 | Acc: 28.000% 
001  17089 |Loss: 0.000 | Acc: 28.000% 
001  17153 |Loss: 0.000 | Acc: 28.000% 
001  17217 |Loss: 0.000 | Acc: 28.000% 
001  17281 |Loss: 0.000 | Acc: 28.000% 
001  17345 |Loss: 0.000 | Acc: 28.000% 
001  17409 |Loss: 0.000 | Acc: 28.000% 
001  17473 |Loss: 0.000 | Acc: 28.000% 
001  17537 |Loss: 0.000 | Acc: 28.000% 
001  17601 |Loss: 0.000 | Acc: 28.000% 
001  17665 |Loss: 0.000 | Acc: 28.000% 
001  17729 |Loss: 0.000 | Acc: 28.000% 
001  17793 |Loss: 0.000 | Acc: 28.000% 
001  17857 |Loss: 0.000 | Acc: 28.000% 
001  17921 |Loss: 0.000 | Acc: 28.000% 
001  17985 |Loss: 0.000 | Acc: 28.000% 
001  18049 |Loss: 0.000 | Acc: 28.000% 
001  18113 |Loss: 0.000 | Acc: 28.000% 
001  18177 |Loss: 0.000 | Acc: 28.000% 
001  18241 |Loss: 0.000 | Acc: 28.000% 
001  18305 |Loss: 0.000 | Acc: 28.000% 
001  18369 |Loss: 0.000 | Acc: 28.000% 
001  18433 |Loss: 0.000 | Acc: 28.000% 
001  18497 |Loss: 0.000 | Acc: 28.000% 
001  18561 |Loss: 0.000 | Acc: 28.000% 
001  18625 |Loss: 0.000 | Acc: 28.000% 
001  18689 |Loss: 0.000 | Acc: 28.000% 
001  18753 |Loss: 0.000 | Acc: 28.000% 
001  18817 |Loss: 0.000 | Acc: 28.000% 
001  18881 |Loss: 0.000 | Acc: 28.000% 
001  18945 |Loss: 0.000 | Acc: 28.000% 
001  19009 |Loss: 0.000 | Acc: 28.000% 
001  19073 |Loss: 0.000 | Acc: 28.000% 
001  19137 |Loss: 0.000 | Acc: 28.000% 
001  19201 |Loss: 0.000 | Acc: 28.000% 
001  19265 |Loss: 0.000 | Acc: 28.000% 
001  19329 |Loss: 0.000 | Acc: 28.000% 
001  19393 |Loss: 0.000 | Acc: 28.000% 
001  19457 |Loss: 0.000 | Acc: 28.000% 
001  19521 |Loss: 0.000 | Acc: 28.000% 
001  19585 |Loss: 0.000 | Acc: 28.000% 
001  19649 |Loss: 0.000 | Acc: 28.000% 
001  19713 |Loss: 0.000 | Acc: 28.000% 
001  19777 |Loss: 0.000 | Acc: 28.000% 
001  19841 |Loss: 0.000 | Acc: 28.000% 
001  19905 |Loss: 0.000 | Acc: 28.000% 
001  19969 |Loss: 0.000 | Acc: 28.000% 
001  20033 |Loss: 0.000 | Acc: 28.000% 
001  20097 |Loss: 0.000 | Acc: 29.000% 
001  20161 |Loss: 0.000 | Acc: 29.000% 
001  20225 |Loss: 0.000 | Acc: 29.000% 
001  20289 |Loss: 0.000 | Acc: 29.000% 
001  20353 |Loss: 0.000 | Acc: 29.000% 
001  20417 |Loss: 0.000 | Acc: 29.000% 
001  20481 |Loss: 0.000 | Acc: 29.000% 
001  20545 |Loss: 0.000 | Acc: 29.000% 
001  20609 |Loss: 0.000 | Acc: 29.000% 
001  20673 |Loss: 0.000 | Acc: 29.000% 
001  20737 |Loss: 0.000 | Acc: 29.000% 
001  20801 |Loss: 0.000 | Acc: 29.000% 
001  20865 |Loss: 0.000 | Acc: 29.000% 
001  20929 |Loss: 0.000 | Acc: 29.000% 
001  20993 |Loss: 0.000 | Acc: 29.000% 
001  21057 |Loss: 0.000 | Acc: 29.000% 
001  21121 |Loss: 0.000 | Acc: 29.000% 
001  21185 |Loss: 0.000 | Acc: 29.000% 
001  21249 |Loss: 0.000 | Acc: 29.000% 
001  21313 |Loss: 0.000 | Acc: 29.000% 
001  21377 |Loss: 0.000 | Acc: 29.000% 
001  21441 |Loss: 0.000 | Acc: 29.000% 
001  21505 |Loss: 0.000 | Acc: 29.000% 
001  21569 |Loss: 0.000 | Acc: 29.000% 
001  21633 |Loss: 0.000 | Acc: 29.000% 
001  21697 |Loss: 0.000 | Acc: 29.000% 
001  21761 |Loss: 0.000 | Acc: 29.000% 
001  21825 |Loss: 0.000 | Acc: 29.000% 
001  21889 |Loss: 0.000 | Acc: 29.000% 
001  21953 |Loss: 0.000 | Acc: 29.000% 
001  22017 |Loss: 0.000 | Acc: 29.000% 
001  22081 |Loss: 0.000 | Acc: 29.000% 
001  22145 |Loss: 0.000 | Acc: 29.000% 
001  22209 |Loss: 0.000 | Acc: 29.000% 
001  22273 |Loss: 0.000 | Acc: 29.000% 
001  22337 |Loss: 0.000 | Acc: 29.000% 
001  22401 |Loss: 0.000 | Acc: 29.000% 
001  22465 |Loss: 0.000 | Acc: 29.000% 
001  22529 |Loss: 0.000 | Acc: 29.000% 
