001  24321 |Loss: 0.000 | Acc: 26.000% 
001  24449 |Loss: 0.000 | Acc: 26.000% 
001  24577 |Loss: 0.000 | Acc: 26.000% 
001  24705 |Loss: 0.000 | Acc: 26.000% 
001  24833 |Loss: 0.000 | Acc: 26.000% 
001  24961 |Loss: 0.000 | Acc: 26.000% 
001  25089 |Loss: 0.000 | Acc: 26.000% 
001  25217 |Loss: 0.000 | Acc: 26.000% 
001  25345 |Loss: 0.000 | Acc: 26.000% 
001  25473 |Loss: 0.000 | Acc: 26.000% 
001  25601 |Loss: 0.000 | Acc: 26.000% 
001  25729 |Loss: 0.000 | Acc: 26.000% 
001  25857 |Loss: 0.000 | Acc: 26.000% 
001  25985 |Loss: 0.000 | Acc: 27.000% 
001  26113 |Loss: 0.000 | Acc: 27.000% 
001  26241 |Loss: 0.000 | Acc: 27.000% 
001  26369 |Loss: 0.000 | Acc: 27.000% 
001  26497 |Loss: 0.000 | Acc: 27.000% 
001  26625 |Loss: 0.000 | Acc: 27.000% 
001  26753 |Loss: 0.000 | Acc: 27.000% 
001  26881 |Loss: 0.000 | Acc: 27.000% 
001  27009 |Loss: 0.000 | Acc: 27.000% 
001  27137 |Loss: 0.000 | Acc: 27.000% 
001  27265 |Loss: 0.000 | Acc: 27.000% 
001  27393 |Loss: 0.000 | Acc: 27.000% 
001  27521 |Loss: 0.000 | Acc: 27.000% 
001  27649 |Loss: 0.000 | Acc: 27.000% 
001  27777 |Loss: 0.000 | Acc: 27.000% 
001  27905 |Loss: 0.000 | Acc: 27.000% 
001  28033 |Loss: 0.000 | Acc: 27.000% 
001  28161 |Loss: 0.000 | Acc: 27.000% 
001  28289 |Loss: 0.000 | Acc: 27.000% 
001  28417 |Loss: 0.000 | Acc: 27.000% 
001  28545 |Loss: 0.000 | Acc: 27.000% 
001  28673 |Loss: 0.000 | Acc: 27.000% 
002  00129 |Loss: 0.623 | Acc: 32.000% 
002  00257 |Loss: 0.005 | Acc: 32.000% 
002  00385 |Loss: 0.002 | Acc: 33.000% 
002  00513 |Loss: 0.002 | Acc: 32.000% 
002  00641 |Loss: 0.001 | Acc: 32.000% 
002  00769 |Loss: 0.001 | Acc: 32.000% 
002  00897 |Loss: 0.001 | Acc: 32.000% 
002  01025 |Loss: 0.001 | Acc: 30.000% 
002  01153 |Loss: 0.001 | Acc: 31.000% 
002  01281 |Loss: 0.001 | Acc: 31.000% 
002  01409 |Loss: 0.000 | Acc: 31.000% 
002  01537 |Loss: 0.000 | Acc: 31.000% 
002  01665 |Loss: 0.000 | Acc: 31.000% 
002  01793 |Loss: 0.000 | Acc: 31.000% 
002  01921 |Loss: 0.000 | Acc: 31.000% 
002  02049 |Loss: 0.000 | Acc: 31.000% 
002  02177 |Loss: 0.000 | Acc: 31.000% 
002  02305 |Loss: 0.000 | Acc: 31.000% 
